[INFO][2022-03-05 11:30:35.160037] - ARD7TVE1187B99BFB1,Casual,California - LA,nan,nan 
[INFO][2022-03-05 11:30:57.901816] - 70,Jaleah,Hayes,F,paid 
[INFO][2022-03-05 11:30:57.903345] - 35,Molly,Taylor,F,free 
[INFO][2022-03-05 11:30:57.904817] - 52,Theodore,Smith,M,free 
[INFO][2022-03-05 11:30:57.906152] - 54,Kaleb,Cook,M,free 
[INFO][2022-03-05 11:30:57.907564] - 42,Harper,Barrett,M,paid 
[INFO][2022-03-05 11:30:57.908996] - 60,Devin,Larson,M,free 
[INFO][2022-03-05 11:30:57.910598] - 61,Samuel,Gonzalez,M,free 
[INFO][2022-03-05 11:30:57.912620] - 74,Braden,Parker,M,free 
[INFO][2022-03-05 11:30:57.914380] - 25,Jayden,Graves,M,paid 
[INFO][2022-03-05 11:30:57.915931] - 71,Ayleen,Wise,F,free 
[INFO][2022-03-05 11:30:57.917410] - 33,Bronson,Harris,M,free 
[INFO][2022-03-05 11:31:00.360848] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:00.362817] - 61,Samuel,Gonzalez,M,free 
[INFO][2022-03-05 11:31:00.364623] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:31:00.366442] - 15,Lily,Koch,F,paid 
[INFO][2022-03-05 11:31:00.368296] - 49,Chloe,Cuevas,F,paid 
[INFO][2022-03-05 11:31:00.370419] - 88,Mohammad,Rodriguez,M,free 
[INFO][2022-03-05 11:31:00.371937] - 30,Avery,Watkins,F,paid 
[INFO][2022-03-05 11:31:00.373328] - 16,Rylan,George,M,paid 
[INFO][2022-03-05 11:31:00.374757] - 43,Jahiem,Miles,M,free 
[INFO][2022-03-05 11:31:00.376075] - 97,Kate,Harrell,F,paid 
[INFO][2022-03-05 11:31:00.377148] - 50,Ava,Robinson,F,free 
[INFO][2022-03-05 11:31:00.378587] - 60,Devin,Larson,M,free 
[INFO][2022-03-05 11:31:00.379956] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:31:00.381284] - 53,Celeste,Williams,F,free 
[INFO][2022-03-05 11:31:00.382634] - 51,Maia,Burke,F,free 
[INFO][2022-03-05 11:31:00.383982] - 63,Ayla,Johnson,F,free 
[INFO][2022-03-05 11:31:00.385465] - 42,Harper,Barrett,M,paid 
[INFO][2022-03-05 11:31:00.386821] - 44,Aleena,Kirby,F,paid 
[INFO][2022-03-05 11:31:00.388222] - 89,Kynnedi,Sanchez,F,free 
[INFO][2022-03-05 11:31:00.389542] - 35,Molly,Taylor,F,free 
[INFO][2022-03-05 11:31:00.390876] - 76,Jayden,Duffy,F,free 
[INFO][2022-03-05 11:31:03.597250] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:03.601502] - 88,Mohammad,Rodriguez,M,paid 
[INFO][2022-03-05 11:31:03.603670] - 29,Jacqueline,Lynch,F,paid 
[INFO][2022-03-05 11:31:03.605884] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:31:03.608200] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:03.610023] - 68,Jordan,Rodriguez,F,free 
[INFO][2022-03-05 11:31:03.612093] - 92,Ryann,Smith,F,free 
[INFO][2022-03-05 11:31:03.614422] - 86,Aiden,Hess,M,free 
[INFO][2022-03-05 11:31:03.616878] - 23,Morris,Gilmore,M,free 
[INFO][2022-03-05 11:31:03.619429] - 13,Ava,Robinson,F,free 
[INFO][2022-03-05 11:31:03.621935] - 95,Sara,Johnson,F,paid 
[INFO][2022-03-05 11:31:03.624341] - 67,Colm,Santana,M,free 
[INFO][2022-03-05 11:31:03.626749] - 73,Jacob,Klein,M,paid 
[INFO][2022-03-05 11:31:03.628765] - 49,Chloe,Cuevas,F,paid 
[INFO][2022-03-05 11:31:03.630510] - 10,Sylvie,Cruz,F,free 
[INFO][2022-03-05 11:31:03.632377] - 83,Stefany,White,F,free 
[INFO][2022-03-05 11:31:06.259384] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:06.260980] - 44,Aleena,Kirby,F,paid 
[INFO][2022-03-05 11:31:06.262601] - 52,Theodore,Smith,M,free 
[INFO][2022-03-05 11:31:06.264170] - 94,Noah,Chavez,M,free 
[INFO][2022-03-05 11:31:06.266135] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:31:06.273584] - 43,Jahiem,Miles,M,free 
[INFO][2022-03-05 11:31:06.275964] - 57,Katherine,Gay,F,free 
[INFO][2022-03-05 11:31:06.277993] - 49,Chloe,Cuevas,F,free 
[INFO][2022-03-05 11:31:06.279617] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:06.281440] - 42,Harper,Barrett,M,paid 
[INFO][2022-03-05 11:31:06.283253] - 28,Brantley,West,M,free 
[INFO][2022-03-05 11:31:06.285050] - 60,Devin,Larson,M,free 
[INFO][2022-03-05 11:31:06.287121] - 95,Sara,Johnson,F,paid 
[INFO][2022-03-05 11:31:06.288751] - 80,Tegan,Levine,F,free 
[INFO][2022-03-05 11:31:06.290257] - 84,Shakira,Hunt,F,free 
[INFO][2022-03-05 11:31:06.291937] - 91,Jayden,Bell,M,free 
[INFO][2022-03-05 11:31:06.293390] - 24,Layla,Griffin,F,paid 
[INFO][2022-03-05 11:31:06.294955] - 97,Kate,Harrell,F,paid 
[INFO][2022-03-05 11:31:06.296734] - 101,Jayden,Fox,M,free 
[INFO][2022-03-05 11:31:06.298229] - 75,Joseph,Gutierrez,M,free 
[INFO][2022-03-05 11:31:06.299606] - 73,Jacob,Klein,M,paid 
[INFO][2022-03-05 11:31:06.300945] - 10,Sylvie,Cruz,F,free 
[INFO][2022-03-05 11:31:06.302338] - 35,Molly,Taylor,F,free 
[INFO][2022-03-05 11:31:06.303821] - 81,Sienna,Colon,F,free 
[INFO][2022-03-05 11:31:06.305338] - 25,Jayden,Graves,M,paid 
[INFO][2022-03-05 11:31:06.309167] - 29,Jacqueline,Lynch,F,free 
[INFO][2022-03-05 11:31:06.310671] - 12,Austin,Rosales,M,free 
[INFO][2022-03-05 11:31:08.557448] - 73,Jacob,Klein,M,paid 
[INFO][2022-03-05 11:31:08.559375] - 24,Layla,Griffin,F,paid 
[INFO][2022-03-05 11:31:08.561009] - 50,Ava,Robinson,F,free 
[INFO][2022-03-05 11:31:08.562991] - 54,Kaleb,Cook,M,free 
[INFO][2022-03-05 11:31:08.564748] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:31:08.566501] - 4,Alivia,Terrell,F,free 
[INFO][2022-03-05 11:31:08.568375] - 52,Theodore,Smith,M,free 
[INFO][2022-03-05 11:31:08.570488] - 14,Theodore,Harris,M,free 
[INFO][2022-03-05 11:31:08.574289] - 101,Jayden,Fox,M,free 
[INFO][2022-03-05 11:31:08.575903] - 78,Chloe,Roth,F,free 
[INFO][2022-03-05 11:31:08.577969] - 10,Sylvie,Cruz,F,free 
[INFO][2022-03-05 11:31:08.580388] - 49,Chloe,Cuevas,F,paid 
[INFO][2022-03-05 11:31:08.582219] - 16,Rylan,George,M,paid 
[INFO][2022-03-05 11:31:08.583895] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:08.585838] - 79,James,Martin,M,free 
[INFO][2022-03-05 11:31:08.587481] - 82,Avery,Martinez,F,paid 
[INFO][2022-03-05 11:31:08.588965] - 44,Aleena,Kirby,F,paid 
[INFO][2022-03-05 11:31:08.590497] - 75,Joseph,Gutierrez,M,free 
[INFO][2022-03-05 11:31:08.591881] - 39,Walter,Frye,M,free 
[INFO][2022-03-05 11:31:08.593526] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:31:08.595044] - 55,Martin,Johnson,M,free 
[INFO][2022-03-05 11:31:08.596443] - 12,Austin,Rosales,M,free 
[INFO][2022-03-05 11:31:08.597785] - 9,Wyatt,Scott,M,free 
[INFO][2022-03-05 11:31:08.601014] - 74,Braden,Parker,M,free 
[INFO][2022-03-05 11:31:08.602317] - 89,Kynnedi,Sanchez,F,free 
[INFO][2022-03-05 11:31:10.387106] - 66,Kevin,Arellano,M,free 
[INFO][2022-03-05 11:31:10.388806] - 63,Ayla,Johnson,F,free 
[INFO][2022-03-05 11:31:10.390335] - 58,Emily,Benson,F,paid 
[INFO][2022-03-05 11:31:10.392042] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:10.393610] - 16,Rylan,George,M,paid 
[INFO][2022-03-05 11:31:10.395162] - 6,Cecilia,Owens,F,free 
[INFO][2022-03-05 11:31:10.397173] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:10.398633] - 50,Ava,Robinson,F,free 
[INFO][2022-03-05 11:31:10.400022] - 53,Celeste,Williams,F,free 
[INFO][2022-03-05 11:31:10.402921] - 94,Noah,Chavez,M,free 
[INFO][2022-03-05 11:31:10.403973] - 98,Jordyn,Powell,F,free 
[INFO][2022-03-05 11:31:10.406691] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:31:10.407852] - 86,Aiden,Hess,M,free 
[INFO][2022-03-05 11:31:10.409106] - 40,Tucker,Garrison,M,free 
[INFO][2022-03-05 11:31:10.410380] - 30,Avery,Watkins,F,paid 
[INFO][2022-03-05 11:31:10.411666] - 60,Devin,Larson,M,free 
[INFO][2022-03-05 11:31:10.412868] - 61,Samuel,Gonzalez,M,free 
[INFO][2022-03-05 11:31:10.414068] - 24,Layla,Griffin,F,paid 
[INFO][2022-03-05 11:31:10.415348] - 10,Sylvie,Cruz,F,free 
[INFO][2022-03-05 11:31:10.416502] - 88,Mohammad,Rodriguez,M,paid 
[INFO][2022-03-05 11:31:10.417815] - 17,Makinley,Jones,F,free 
[INFO][2022-03-05 11:31:10.418932] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:31:10.420023] - 85,Kinsley,Young,F,paid 
[INFO][2022-03-05 11:31:10.421367] - 47,Kimber,Norris,F,free 
[INFO][2022-03-05 11:31:11.804020] - 11,Christian,Porter,F,free 
[INFO][2022-03-05 11:31:11.805730] - 43,Jahiem,Miles,M,free 
[INFO][2022-03-05 11:31:11.807437] - 29,Jacqueline,Lynch,F,free 
[INFO][2022-03-05 11:31:11.809261] - 48,Marina,Sutton,F,free 
[INFO][2022-03-05 11:31:11.811024] - 80,Tegan,Levine,F,free 
[INFO][2022-03-05 11:31:11.812639] - 83,Stefany,White,F,free 
[INFO][2022-03-05 11:31:11.814787] - 72,Hayden,Brock,F,paid 
[INFO][2022-03-05 11:31:11.817098] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:11.818608] - 9,Wyatt,Scott,M,free 
[INFO][2022-03-05 11:31:11.819635] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:11.820622] - 63,Ayla,Johnson,F,free 
[INFO][2022-03-05 11:31:11.821649] - 81,Sienna,Colon,F,free 
[INFO][2022-03-05 11:31:11.822673] - 66,Kevin,Arellano,M,free 
[INFO][2022-03-05 11:31:11.823584] - 36,Matthew,Jones,M,free 
[INFO][2022-03-05 11:31:11.824458] - 101,Jayden,Fox,M,free 
[INFO][2022-03-05 11:31:11.825674] - 7,Adelyn,Jordan,F,free 
[INFO][2022-03-05 11:31:11.826930] - 35,Molly,Taylor,F,free 
[INFO][2022-03-05 11:31:11.828006] - 33,Bronson,Harris,M,free 
[INFO][2022-03-05 11:31:11.829014] - 27,Carlos,Carter,M,free 
[INFO][2022-03-05 11:31:11.830053] - 16,Rylan,George,M,free 
[INFO][2022-03-05 11:31:11.831204] - 42,Harper,Barrett,M,paid 
[INFO][2022-03-05 11:31:13.003352] - 44,Aleena,Kirby,F,paid 
[INFO][2022-03-05 11:31:13.004935] - 6,Cecilia,Owens,F,free 
[INFO][2022-03-05 11:31:13.006553] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:13.008191] - 88,Mohammad,Rodriguez,M,free 
[INFO][2022-03-05 11:31:13.009992] - 49,Chloe,Cuevas,F,paid 
[INFO][2022-03-05 11:31:13.011763] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:31:13.013849] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:31:13.016006] - 101,Jayden,Fox,M,free 
[INFO][2022-03-05 11:31:13.017810] - 83,Stefany,White,F,free 
[INFO][2022-03-05 11:31:13.019498] - 85,Kinsley,Young,F,paid 
[INFO][2022-03-05 11:31:13.021194] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:13.023057] - 50,Ava,Robinson,F,free 
[INFO][2022-03-05 11:31:13.024779] - 61,Samuel,Gonzalez,M,free 
[INFO][2022-03-05 11:31:13.026435] - 77,Magdalene,Herman,F,free 
[INFO][2022-03-05 11:31:13.028338] - 8,Kaylee,Summers,F,free 
[INFO][2022-03-05 11:31:13.029788] - 76,Jayden,Duffy,F,free 
[INFO][2022-03-05 11:31:13.030958] - 86,Aiden,Hess,M,free 
[INFO][2022-03-05 11:31:13.032110] - 36,Matthew,Jones,M,paid 
[INFO][2022-03-05 11:31:13.033154] - 90,Andrea,Butler,F,free 
[INFO][2022-03-05 11:31:13.034294] - 97,Kate,Harrell,F,paid 
[INFO][2022-03-05 11:31:13.035587] - 24,Layla,Griffin,F,paid 
[INFO][2022-03-05 11:31:13.036629] - 10,Sylvie,Cruz,F,free 
[INFO][2022-03-05 11:31:14.375406] - 96,Cierra,Finley,F,free 
[INFO][2022-03-05 11:31:14.376338] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:31:14.377468] - 16,Rylan,George,M,free 
[INFO][2022-03-05 11:31:14.378579] - 44,Aleena,Kirby,F,paid 
[INFO][2022-03-05 11:31:14.379645] - 37,Jordan,Hicks,F,free 
[INFO][2022-03-05 11:31:14.380670] - 66,Kevin,Arellano,M,free 
[INFO][2022-03-05 11:31:14.381880] - 6,Cecilia,Owens,F,free 
[INFO][2022-03-05 11:31:14.383139] - 61,Samuel,Gonzalez,M,free 
[INFO][2022-03-05 11:31:14.384220] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:31:14.385326] - 74,Braden,Parker,M,free 
[INFO][2022-03-05 11:31:14.386392] - 7,Adelyn,Jordan,F,free 
[INFO][2022-03-05 11:31:14.387335] - 18,Jacob,Rogers,M,free 
[INFO][2022-03-05 11:31:14.388358] - 36,Matthew,Jones,M,paid 
[INFO][2022-03-05 11:31:14.389390] - 52,Theodore,Smith,M,free 
[INFO][2022-03-05 11:31:14.390550] - 14,Theodore,Harris,M,free 
[INFO][2022-03-05 11:31:14.391602] - 8,Kaylee,Summers,F,free 
[INFO][2022-03-05 11:31:14.393386] - 35,Molly,Taylor,F,free 
